Incident_Id,Year,State,Region
147756,2010,California,West
147757,2010,California,West
147758,2010,California,West
147759,2010,California,West
143905,2010,California,West
143906,2010,California,West
143907,2010,California,West
143908,2010,California,West
143909,2010,California,West
143910,2010,California,West
143911,2010,California,West
143912,2010,California,West
143913,2010,California,West
143914,2010,California,West
143915,2010,California,West
143916,2010,California,West
143917,2010,California,West
143918,2010,California,West
143919,2010,California,West
143920,2010,California,West
143921,2010,California,West
143922,2010,California,West
143923,2010,California,West
143924,2010,California,West
143925,2010,California,West
143926,2010,California,West
143927,2010,California,West
143928,2010,California,West
143929,2010,California,West
143930,2010,California,West
143931,2010,California,West
143932,2010,California,West
143933,2010,California,West
143934,2010,California,West
143935,2010,California,West
143936,2010,California,West
143937,2010,California,West
143938,2010,California,West
143939,2010,California,West
143940,2010,California,West
143941,2010,California,West
143942,2010,California,West
143943,2010,California,West
143944,2010,California,West
143945,2010,California,West
143946,2010,California,West
143947,2010,California,West
143948,2010,California,West
143949,2010,California,West
143950,2010,California,West
143951,2010,California,West
143952,2010,California,West
143953,2010,California,West
143954,2010,California,West
143955,2010,California,West
143956,2010,California,West
143957,2010,California,West
143958,2010,California,West
143959,2010,California,West
143960,2010,California,West
143961,2010,California,West
143962,2010,California,West
143963,2010,California,West
143964,2010,California,West
143965,2010,California,West
143966,2010,California,West
147760,2010,California,West
147761,2010,California,West
147762,2010,California,West
147763,2010,California,West
147764,2010,California,West
147765,2010,California,West
147766,2010,California,West
147767,2010,California,West
147768,2010,California,West
147769,2010,California,West
147770,2010,California,West
147771,2010,California,West
147772,2010,California,West
147773,2010,California,West
147774,2010,California,West
147775,2010,California,West
147776,2010,California,West
147777,2010,California,West
147778,2010,California,West
147959,2010,California,West
147960,2010,California,West
147961,2010,California,West
147962,2010,California,West
147963,2010,California,West
147964,2010,California,West
147965,2010,California,West
147966,2010,California,West
147967,2010,California,West
147968,2010,California,West
147969,2010,California,West
147970,2010,California,West
147971,2010,California,West
147972,2010,California,West
147973,2010,California,West
147974,2010,California,West
147975,2010,California,West
147976,2010,California,West
147977,2010,California,West
147978,2010,California,West
147979,2010,California,West
147980,2010,California,West
147981,2010,California,West
147982,2010,California,West
147983,2010,California,West
147984,2010,California,West
147985,2010,California,West
147986,2010,California,West
147987,2010,California,West
147988,2010,California,West
147989,2010,California,West
147990,2010,California,West
147991,2010,California,West
147992,2010,California,West
147993,2010,California,West
147994,2010,California,West
147995,2010,California,West
147996,2010,California,West
147997,2010,California,West
147998,2010,California,West
147999,2010,California,West
148000,2010,California,West
148001,2010,California,West
148002,2010,California,West
148003,2010,California,West
148004,2010,California,West
148005,2010,California,West
148006,2010,California,West
148007,2010,California,West
148008,2010,California,West
148009,2010,California,West
148010,2010,California,West
148011,2010,California,West
148012,2010,California,West
148013,2010,California,West
148014,2010,California,West
148015,2010,California,West
148016,2010,California,West
143967,2010,California,West
143968,2010,California,West
148017,2010,California,West
143969,2010,California,West
143970,2010,California,West
143971,2010,California,West
143972,2010,California,West
143973,2010,California,West
143974,2010,California,West
143975,2010,California,West
143976,2010,California,West
143977,2010,California,West
143978,2010,California,West
143979,2010,California,West
143980,2010,California,West
143981,2010,California,West
143982,2010,California,West
143983,2010,California,West
143984,2010,California,West
143985,2010,California,West
143986,2010,California,West
143987,2010,California,West
143988,2010,California,West
143989,2010,California,West
143990,2010,California,West
143991,2010,California,West
143992,2010,California,West
143993,2010,California,West
143994,2010,California,West
143995,2010,California,West
143996,2010,California,West
143997,2010,California,West
143998,2010,California,West
143999,2010,California,West
144000,2010,California,West
144001,2010,California,West
144002,2010,California,West
144003,2010,California,West
148018,2010,California,West
144004,2010,California,West
148019,2010,California,West
148020,2010,California,West
144005,2010,California,West
144006,2010,California,West
148021,2010,California,West
148022,2010,California,West
148023,2010,California,West
144007,2010,California,West
144008,2010,California,West
148024,2010,California,West
144009,2010,California,West
144010,2010,California,West
148025,2010,California,West
148026,2010,California,West
148027,2010,California,West
148028,2010,California,West
148029,2010,California,West
144011,2010,California,West
144012,2010,California,West
148030,2010,California,West
144013,2010,California,West
144014,2010,California,West
144015,2010,California,West
144016,2010,California,West
144017,2010,California,West
144018,2010,California,West
144019,2010,California,West
144020,2010,California,West
144021,2010,California,West
144022,2010,California,West
144023,2010,California,West
148031,2010,California,West
148032,2010,California,West
148033,2010,California,West
148034,2010,California,West
144024,2010,California,West
144025,2010,California,West
148035,2010,California,West
148036,2010,California,West
144026,2010,California,West
148037,2010,California,West
148038,2010,California,West
144027,2010,California,West
148039,2010,California,West
148040,2010,California,West
144028,2010,California,West
148041,2010,California,West
144029,2010,California,West
148042,2010,California,West
148043,2010,California,West
144030,2010,California,West
144031,2010,California,West
148044,2010,California,West
148045,2010,California,West
148046,2010,California,West
144032,2010,California,West
144033,2010,California,West
148047,2010,California,West
148048,2010,California,West
144034,2010,California,West
148049,2010,California,West
144035,2010,California,West
144036,2010,California,West
148050,2010,California,West
148051,2010,California,West
148052,2010,California,West
144037,2010,California,West
148053,2010,California,West
144038,2010,California,West
148054,2010,California,West
144039,2010,California,West
148055,2010,California,West
148056,2010,California,West
144040,2010,California,West
144041,2010,California,West
144042,2010,California,West
144043,2010,California,West
148057,2010,California,West
148058,2010,California,West
148059,2010,California,West
148060,2010,California,West
148061,2010,California,West
148062,2010,California,West
144044,2010,California,West
144045,2010,California,West
148063,2010,California,West
144046,2010,California,West
148064,2010,California,West
148065,2010,California,West
148066,2010,California,West
144047,2010,California,West
148067,2010,California,West
144048,2010,California,West
144049,2010,California,West
148068,2010,California,West
148069,2010,California,West
148070,2010,California,West
144050,2010,California,West
148071,2010,California,West
144051,2010,California,West
148072,2010,California,West
144052,2010,California,West
144053,2010,California,West
144054,2010,California,West
148073,2010,California,West
148074,2010,California,West
148075,2010,California,West
148076,2010,California,West
144055,2010,California,West
148077,2010,California,West
144056,2010,California,West
144057,2010,California,West
148078,2010,California,West
144058,2010,California,West
144059,2010,California,West
144060,2010,California,West
144061,2010,California,West
144062,2010,California,West
144063,2010,California,West
144064,2010,California,West
144065,2010,California,West
144066,2010,California,West
144067,2010,California,West
144068,2010,California,West
148079,2010,California,West
148080,2010,California,West
148081,2010,California,West
148082,2010,California,West
148083,2010,California,West
144069,2010,California,West
148084,2010,California,West
148085,2010,California,West
144070,2010,California,West
144071,2010,California,West
144072,2010,California,West
144073,2010,California,West
144074,2010,California,West
144075,2010,California,West
148086,2010,California,West
148087,2010,California,West
148088,2010,California,West
148089,2010,California,West
148090,2010,California,West
148091,2010,California,West
148092,2010,California,West
148093,2010,California,West
148094,2010,California,West
148095,2010,California,West
144076,2010,California,West
148096,2010,California,West
144077,2010,California,West
144078,2010,California,West
144079,2010,California,West
144080,2010,California,West
144081,2010,California,West
144082,2010,California,West
144083,2010,California,West
144084,2010,California,West
144085,2010,California,West
148097,2010,California,West
148098,2010,California,West
